Account id: 5988062
Tweet id: 987348949295095808, Replies: 93
Tweet id: 987075481135656961, Replies: 84
Tweet id: 987484837425614848, Replies: 79
Tweet id: 987023046333607936, Replies: 78
Tweet id: 987375613588787200, Replies: 77
Tweet id: 987652775415775232, Replies: 63
Tweet id: 987856019714985985, Replies: 60
Tweet id: 987445824677449728, Replies: 57
Tweet id: 987499413420593152, Replies: 54
Tweet id: 987551011043794946, Replies: 48
Tweet id: 987478535181881350, Replies: 47
Tweet id: 987361969475760128, Replies: 46
Tweet id: 987082471912206337, Replies: 46
Tweet id: 987464090342887426, Replies: 45
Tweet id: 987363035412123651, Replies: 44
Tweet id: 987887480119623680, Replies: 40
Tweet id: 987168996180013061, Replies: 39
Tweet id: 987823304210829312, Replies: 37
Tweet id: 987450924263202816, Replies: 36
Tweet id: 987145106699571205, Replies: 36
Tweet id: 985948204880580608, Replies: 35
Tweet id: 987747804461322242, Replies: 32
Tweet id: 987833367164014593, Replies: 30
Tweet id: 987645399518375936, Replies: 30
Tweet id: 987921442674216961, Replies: 29
Tweet id: 987874897119543296, Replies: 29
Tweet id: 987901315828379648, Replies: 28
Tweet id: 987803183870332930, Replies: 28
Tweet id: 987632050680270848, Replies: 28
Tweet id: 987033129348198400, Replies: 28
Tweet id: 987152630446206976, Replies: 25
Tweet id: 987097398903123969, Replies: 23
Tweet id: 987007940363210752, Replies: 23
Tweet id: 987512766813687808, Replies: 22
Tweet id: 987367808991481857, Replies: 21
Account id: 807095
Tweet id: 987872151347892224, Replies: 192
Tweet id: 987919678558343168, Replies: 93
Tweet id: 987852384297717760, Replies: 74
Tweet id: 987954990378618880, Replies: 67
Tweet id: 987893150340575232, Replies: 62
Tweet id: 987764677638750208, Replies: 54
Tweet id: 987849166771707905, Replies: 49
Tweet id: 987747389267116033, Replies: 39
Tweet id: 987820992704720897, Replies: 34
Tweet id: 987915482752847872, Replies: 32
Tweet id: 987836703019819008, Replies: 30
Tweet id: 987806208621973504, Replies: 28
Tweet id: 987936958801473536, Replies: 26
Tweet id: 987825488180760577, Replies: 26
Tweet id: 987743887786639367, Replies: 26
Tweet id: 987749782297903104, Replies: 25
Tweet id: 985958738686283781, Replies: 25
Tweet id: 987802413678714885, Replies: 24
Tweet id: 987959455454199808, Replies: 21
Sum of all replies: 29435
